INDEX,WALLET,HE (5%)
83,0x8B29fC601150c37F27784095EBa11E08C7240E96,"5,000"
84,0x7fD4b72d3Bf681C2e80D6076D7997B21DEf45130,"25,000"
85,0xAaD88154D6b5338be746e53021bB8BF75F783a78,"75,000"
86,0x51E027a767c07BF1570092c8643490fe0b6E27A2,"5,000"
87,0x0AcEb516F5eE664a25ff49aB74d7Fc950cd39ba6,"6,500"
88,0xE54fC4A3f9fd8068b9cdF3331f4aD4Fa842c7674,"100,000"
89,0xc0B8b7fB5e4A77044D647a2bfF871eF236f0916e,"50,000"
90,0x6ec1A58f644CEF420cEe3168c93aaF9f6666Ae5d,"5,000"
91,0x4b8C717C1Db825CECA9d488Cf61CC311072c88e9,"165,000"
92,0xa5d06D8417323eECf8c14e83E81205836A07470D,"95,000"
93,0x82Fd2F76B91B0b84f486d64eabc79170D36B5800,"220,000"
94,0x7B24dDCF028539941EeeaF747F9B38f37016a715,"10,000"
95,0xD5Ae8c8675818b09b9e0544A92316Baf5093F1cD,"5,000"
96,0xBc5f25bd319fa1655A61225838a07B57B0c0bf01,"295,000"
97,0xbbc826890dD80Bc3c6530DEA5719866f4423654b,"2,000"
98,0x0c0f593Fb46f12104Ed33eD478d0DF10826f398A,"2,500"
99,0x2aa42f9b0B3ddc3404FB6336A31C65CE7675c939,"1,000"
100,0x80aCA5A7b867749bE473C6210F6D8E01ce0C502B,"23,000"
101,0x91090AB1F98EE7AbA0582213875605c7Dc232852,"250,000"
102,0x8e07c53632476666309f6B934aD52c367F7Ca917,"500"
103,0x8a92e3B53E8615d744b936CA4cFA0c1cE8Da6A46,"500"
104,0xB6c23Fc5b4E9F6AEf65214C6C6d9984f731d0C0f,"500"
105,0xD5Ae8c8675818b09b9e0544A92316Baf5093F1cD,"500"
106,0xC98b919acdd9b0A0EAe5F37aC3b6c8DBA038800c,"500"
107,0xEA89C3135f0e98dfD2364B8e4A4CcA3ec81FBF1e,"500"
108,0x65a3851BF94B53086a944F7bb24379335feDdB32,"500"
109,0xC063BB2ed27d82cd56bF98822FD3e934d75F90c1,"500"
110,0x8EF75196465114779d2b964cE8972319A22421c9,"500"
111,0x5c18465D07900FCC46195a06C1d0e74896F6bBC3,"500"
112,0x85e5E222bFDcDB6a326b9E6dEd811fde05e72097,"500"
113,0x3C8A05355aeA473Ccc69a2D23Ced73bE4fBd9860,"500"
114,0x36C35283007f041AC8f113c0e2822690D70789C6,"500"
115,0x07C415e6488dF2f8c0c4446F763b41A2ef292326,"500"
116,0xFA4937670686c09F180C71a9b93e2FfCC3A79F47,"500"
117,0xD1a06dB50b8eb5dc32D69282B850eEfD763CC458,"500"
118,0xd2783454EcEcD2050d9CB384bE694092e001e0DD,"500"
119,0xa75F9C8246f7269279bE4c969e7Bc6Eb619cC204,"500"
120,0x1338059e8d7a8883c1CA5Aea71206c3DAD69965d,"500"
121,0xB8679f9e71595D7B4736b145E1cCd0696C839799,"500"
122,0xa72F929793542DEB56a765375475BEBF8BC7eE0E,"500"
123,0x6B3B81076fAbe7F765CAA324AB651413e29743Be,"500"
124,0x25e7E89233f751c53442149550B0176f8532EcB1,"500"
125,0xF272b473Cf071627912418842a0EA3c4E612884c,"500"
126,0xf8c66F3C95D2BA111EF10b45BFa39E1c93e00000,"500"
127,0x3Bf4ff0015Ca0ff04a9AB1C6d3e56c21Ca0da45d,"500"
128,0x2D369ba72955a17Bb79094F81ff0113e4B190791,"500"
129,0xb53DFd54C63A4F4c27eE4eaE81015b882d4a0039,"500"
130,0x4d1DDb125A4DBb76BC11b42cF9C544375B20Ebea,"500"
131,0x7d0c2019f21dfA60D198eb37ecCA6a2F07B606C2,"500"
132,0xb43D5a83e4e668E0a1632589B53a2491958dbCC3,"500"
133,0x7d2EFa6137a0D92dbf38E0d5B5fc6a69C7b983e8,"500"
134,0x2bd8F7Fd45BdDa6B0073A66eEb50D7540caaACB4,"500"
135,0x4b3a43796805c864e6aaecd2ab851952e4f93cec,"500"
136,0x5a7721a162C66A430591ae96Ad90526C6EA05762,"500"
137,0x5F39c49e3146e444f2Bb4F06eaD86B37F050cAcb,"500"
138,0x689d9B38F7CCCa1a6D53B76fc11aAEc690117773,"500"
139,0xDc37Ba4217ECc7d6D1A646678A554AC31fED37EF,"500"
